,opt_time,method,upper,bi,tri,real
0,0.004,planning,-4.711008615198225,6.14371551796877,6.9960362365625635,9.477064171507797
1,70.754,DFO_bi,-4.670108615198225,-3.1236414149349367,-2.4015872602368993,9.467964171507797
2,22.479,DFO_bi_low,-4.670108615198225,-3.1236414149349367,-2.4015872432660443,9.467964171507797
3,74.039,DFO_bi_distr,-4.670108615198225,6.13461551796877,6.986936236562563,9.467964171507797
4,979.817,DFO_approx,-4.674298615198225,-3.036231982031232,-3.0217156538086347,9.463774171507795
5,33.916,DFO_approx_low,-4.674202614918474,-3.1047120597118525,-2.406006363601649,9.464740514939766
6,82.395,DFO_approx_distr,-4.674298615198225,6.13042551796877,6.982746236562563,9.463774171507795
7,196.4752879244159,DFO_tri_approx,-4.587767014782432,6.221808508662643,7.122057949837557,8.721824163042767
8,431.12054499698183,DFO_tri_init,-4.618836840098293,6.186425311589632,7.062265851925738,8.686440812332734
9,392.8121893340722,DFO_tri_bi,-4.538041751828606,6.3012189477378495,7.173280032913331,7.967901121450275
10,232.0410475206872,DFO_tri_surr_approx,-2.3474809112487947,-0.6487530588513515,-0.5023948485404905,-0.6487344177375736
11,224.08406719435007,DFO_tri_surr_bi,-4.337637424302063,-2.52422781657308,-2.426041130140018,-2.524210679321215
12,314.8529840034743,DFO_tri_surr_tri,-3.553799670020133,-2.2694849917813924,7.445257642381719,-2.2694719081407677
13,3.9625328429974616,surr_approx_45_2,-4.437203272941102,-2.456718984153075,-2.198897839751644,-1.6233677207369077
14,9.28122042864561,surr_approx_5_31,-4.473389511764595,-2.3787692009651513,-2.184640335261395,0.9545812350676358
15,0.2207971620373428,surr_approx_5_2,-4.528176521097491,-2.5610792024952005,-2.3098670538743473,1.6056052250508164
16,7202.366739499,surr_bi_78_40,-4.606723553613888,6.371582348011553,7.359603855304789,10.991411542797874
17,105.10489004594274,surr_bi_42_20,-4.426772605594065,-2.564579500895661,-2.436838088606177,-0.8978956446707099
18,0.1207736519863829,surr_bi_10_1,-4.637907189630724,6.3800937000839335,7.194809259374965,8.880109724408861
19,12.896951047703624,surr_tri_11_3,-4.3213986626766046,-2.2401948500741513,17.469163915647798,-1.4068449606421496
20,75.09266105107963,surr_tri_16_1,-3.7223081678062298,-1.8796524906746979,-1.7955622101457072,-1.8796384425661434
21,0.7052125046029687,surr_tri_11_1,-4.659909904109101,6.277248915632823,7.102509092064148,9.610598090054905
