,time_s,time_l,test_score,nodes,type,upper_s,upper_l,bi_s,bi_l,tri_s,tri_l,real
0,0.368122387999847,,0.003932700615865019,"(5, 1)",schedu,-4.637607865983331,,6.267040294501052,,7.303631354904765,,
1,0.10980376228690147,0.32899004593491554,1.016954338141697,"(5, 1)",integr,-4.643613083264263,-4.6451528782330485,6.26103507722012,6.4501886388191485,7.305614856577112,7.367217232511225,
2,0.2943706009991729,,0.0027256392300197196,"(5, 2)",schedu,-4.624225185267939,,6.262026621055247,,7.3057791855526775,,
3,,0.2207971620373428,0.018784373736955958,"(5, 2)",integr,,-4.528176521097491,,-2.5610792024952005,,-2.3098670538743473,1.6056052250508164
4,0.18569092312827706,,0.03880721984936796,"(5, 8)",integr,-4.444027641294223,,6.337257019816906,,7.347253369871676,,
5,0.18368650320917368,,0.059666678473587045,"(5, 10)",integr,-4.609891160198487,,6.207687691125104,,7.34018616315881,,
6,0.1505608269944787,,0.06780125812535344,"(5, 12)",integr,-4.638295360167498,,6.17524882628365,,7.236523218688896,,
7,0.19078223199994682,,0.021928578946545294,"(5, 15)",schedu,-4.642271922818039,,6.107633390983157,,7.223246811307066,,
8,0.13624970242381096,,0.06325917443485864,"(5, 15)",integr,-4.6485947174740305,,6.174296501264935,,7.287599617254229,,
9,0.15963256200029718,,0.026072803565082837,"(5, 16)",schedu,-4.6113065323833,,6.1882392762893215,,7.276324619690808,,
10,0.36808249000000615,1.345997525999337,0.03768177446373182,"(5, 17)",schedu,-4.6608343957174165,-4.544993166391881,5.9867907442653046,6.452628809464335,7.1143642362908475,7.638713043901883,
11,0.1412963010002386,,0.01277024349365963,"(5, 18)",schedu,-4.678597208470071,,6.023583289992197,,7.016298110178807,,
12,0.3230220517143607,,0.06287111492795752,"(5, 18)",integr,-4.618473895279582,,6.2418771002794635,,7.3201043116093665,,
13,0.23068636099992545,,0.006618221705536428,"(5, 19)",schedu,-4.688328050697857,,5.966086386633752,,7.029956926121542,,
14,0.1596661580001637,2.837161554998602,0.00464119139637264,"(5, 20)",schedu,-4.646797985426908,-4.597611877013285,15.105989264817595,14.723722322854869,16.973442598160556,16.485378230436663,
15,0.4000565500000448,,0.0035406176979626957,"(5, 23)",schedu,-4.67423230490477,,6.047642238856124,,7.172813357014905,,
16,,,0.021437381579225194,"(5, 23)",integr,,,,,,,
17,0.3391998520000925,,0.004745211219267679,"(5, 24)",schedu,-4.6405540026914,,6.12665156280799,,7.23408375076137,,
18,0.44661206000000675,,0.010088704160328676,"(5, 25)",schedu,-4.65096136092937,,6.056062408730485,,16.986327674079067,,
19,0.25825658200028556,,0.021055863679679446,"(5, 29)",schedu,-4.646945707617572,,6.1803398023459595,,7.2220926548408135,,
20,,,0.05581326462125469,"(5, 30)",integr,,,,,,,
21,,9.28122042864561,0.04556740609278613,"(5, 31)",integr,,-4.473389511764595,,-2.3787692009651513,,-2.184640335261395,0.9545812350676358
22,0.20375162899995303,,0.011460721576757722,"(5, 34)",schedu,-4.670975871385699,,6.223355526751548,,7.152427181584956,,
23,0.19439825399967958,,0.0012385260020490185,"(5, 35)",schedu,-4.634339044677309,,6.070409924643291,,7.14811504639115,,
24,0.5151388226076961,,0.032251961766581516,"(5, 38)",integr,-4.683388380645646,,5.958008764138777,,7.07507884157737,,
25,0.24450951499966322,,0.007149804160813725,"(5, 39)",schedu,-4.675632779469396,,6.032739947226517,,7.134651967942655,,
